dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone,dialect,id
XA,Xian,14,除夕,三十儿黑咧,,sã ʂər xei liɛ,sã21 ʂər24 xei21 liɛ,sã21 ʂər24 xei21 liɛ,sã ʂər xei liɛ,Xian,XA
XA,Xian,15,今年,今年 ,,tɕiẽ niã,tɕiẽ21 niã,t͡ɕiẽ21 niã,t͡ɕiẽ niã,Xian,XA
XA,Xian,16,明年,明年 ,,miŋ niã,miŋ24 niã,miŋ24 niã,miŋ niã,Xian,XA
XA,Xian,17,去年,年时个 ,,niã sɿ kɤ,niã24 sɿ kɤ,niã24 sɹ̩ kɤ,niã sɹ̩ kɤ,Xian,XA
XA,Xian,18,明天,明儿 ,,miər,miər24,miər24,miər,Xian,XA
XA,Xian,19,昨天,夜个 ,,iɛ kɤ,iɛ53 kɤ,iɛ53 kɤ,iɛ kɤ,Xian,XA
XA,Xian,20,今天,今儿,,tɕiər,tɕiər21,t͡ɕiər21,t͡ɕiər,Xian,XA
XA,Xian,21,星期天,星期 ,,ɕiŋ tɕˈi,ɕiŋ21 tɕˈi,ɕiŋ21 t͡ɕʰi,ɕiŋ t͡ɕʰi,Xian,XA
XA,Xian,22,麦子,麦,,mei,mei21,mei21,mei,Xian,XA
XA,Xian,23,大米,大米 ,,ta mi,ta44 mi53,ta44 mi53,ta mi,Xian,XA
XA,Xian,24,蚕豆,蚕豆 ,,tsˈã tou,tsˈã24 tou,t͡sʰã24 tou,t͡sʰã tou,Xian,XA
XA,Xian,25,向日葵,向日葵 ,,ɕiaŋr kˈuei,ɕiaŋr4453 kˈuei24,ɕiaŋr4453 kʰuei24,ɕiaŋr kʰuei,Xian,XA
XA,Xian,26,菠菜,菠菜 ,,po tsˈai,po21 tsˈai,po21 t͡sʰai,po t͡sʰai,Xian,XA
XA,Xian,27,卷心菜,莲花白 ,,liã xua pei,liã24 xua21 pei24,liã24 xua21 pei24,liã xua pei,Xian,XA
XA,Xian,28,西红柿,洋柿子 ,,iaŋ sɿ tsɿ,iaŋ24 sɿ44 tsɿ,iaŋ24 sɹ̩44 t͡sɹ̩,iaŋ sɹ̩ t͡sɹ̩,Xian,XA
XA,Xian,29,茄子,茄子 ,,tɕˈiɛ tsɿ,tɕˈiɛ24 tsɿ,t͡ɕʰiɛ24 t͡sɹ̩,t͡ɕʰiɛ t͡sɹ̩,Xian,XA
XA,Xian,30,白薯,红苕 ,,xuŋ ʂau,xuŋ24 ʂau24,xuŋ24 ʂau24,xuŋ ʂau,Xian,XA
XA,Xian,31,马铃薯,洋芋 ,,iaŋ y,iaŋ24 y44,iaŋ24 y44,iaŋ y,Xian,XA
XA,Xian,32,南瓜,倭瓜 ,,uo kua,uo21 kua,uo21 kua,uo kua,Xian,XA
XA,Xian,33,猪,猪,,pfu,pfu21,pfu21,pfu,Xian,XA
XA,Xian,34,公猪,牙猪 ,,ia pfu,ia24 pfu,ia24 pfu,ia pfu,Xian,XA
XA,Xian,35,母猪,母猪 ,,mu pfu,mu53 pfu,mu53 pfu,mu pfu,Xian,XA
XA,Xian,36,公鸡,公鸡 ,,kuŋ tɕi,kuŋ21 tɕi,kuŋ21 t͡ɕi,kuŋ t͡ɕi,Xian,XA
XA,Xian,37,母鸡,母鸡 ,,mu tɕi,mu53 tɕi,mu53 t͡ɕi,mu t͡ɕi,Xian,XA
XA,Xian,38,麻雀,雀儿 ,,tɕˈiaur,tɕˈiaur53,t͡ɕʰiaur53,t͡ɕʰiaur,Xian,XA
XA,Xian,39,老鼠,老鼠 ,,lau fu,lau5321 fu,lau5321 fu,lau fu,Xian,XA
XA,Xian,40,臭虫,臭虱 ,,tʂˈou sei,tʂˈou44 sei,tʂʰou44 sei,tʂʰou sei,Xian,XA
XA,Xian,41,房子(整),房,,faŋ,faŋ24,faŋ24,faŋ,Xian,XA
XA,Xian,42,房子(单),房子,,faŋ tsɿ,faŋ24 tsɿ,faŋ24 t͡sɹ̩,faŋ t͡sɹ̩,Xian,XA
XA,Xian,43,窗户,窗子 ,,pfˈaŋ tsɿ,pfˈaŋ21 tsɿ,pfʰaŋ21 t͡sɹ̩,pfʰaŋ t͡sɹ̩,Xian,XA
XA,Xian,44,门坎,门槛,,mẽ kˈã,mẽ24 kˈã,mẽ24 kʰã,mẽ kʰã,Xian,XA
XA,Xian,45,厕所,茅子 ,,mau tsɿ,mau24 tsɿ,mau24 t͡sɹ̩,mau t͡sɹ̩,Xian,XA
XA,Xian,46,厨房,厨房 ,,pfˈu faŋ,pfˈu24 faŋ,pfʰu24 faŋ,pfʰu faŋ,Xian,XA
XA,Xian,47,烟囱,烟筒 ,,iã tˈuŋ,iã21 tˈuŋ,iã21 tʰuŋ,iã tʰuŋ,Xian,XA
XA,Xian,48,桌子,桌子 ,,pfo tsɿ,pfo21 tsɿ,pfo21 t͡sɹ̩,pfo t͡sɹ̩,Xian,XA
XA,Xian,49,楼梯,楼梯 ,,lou tˈi,lou24 tˈi,lou24 tʰi,lou tʰi,Xian,XA
XA,Xian,50,头,头 ,,tˈou,tˈou24,tʰou24,tʰou,Xian,XA
XA,Xian,51,额头,额楼 ,,ŋei lou,ŋei21 lou24,ŋei21 lou24,ŋei lou,Xian,XA
XA,Xian,52,脸,脸 ,,liã,liã53,liã53,liã,Xian,XA
XA,Xian,53,鼻子,鼻子 ,,pi tsɿ,pi24 tsɿ,pi24 t͡sɹ̩,pi t͡sɹ̩,Xian,XA
XA,Xian,54,脖子,脖项 ,,po xaŋ,po24 xaŋ,po24 xaŋ,po xaŋ,Xian,XA
XA,Xian,55,左手,左手 ,,tsuo ʂou,tsuo53 ʂou53,t͡suo53 ʂou53,t͡suo ʂou,Xian,XA
XA,Xian,56,右手,右手 ,,iou ʂou,iou44 ʂou53,iou44 ʂou53,iou ʂou,Xian,XA
XA,Xian,57,拳头,捶头子 ,,pfˈei tˈou tsɿ,pfˈei24 tˈou tsɿ,pfʰei24 tʰou t͡sɹ̩,pfʰei tʰou t͡sɹ̩,Xian,XA
XA,Xian,58,手指头,手指头 ,,ʂou tsɿ tˈou,ʂou53 tsɿ21 tˈou,ʂou53 t͡sɹ̩21 tʰou,ʂou t͡sɹ̩ tʰou,Xian,XA
XA,Xian,59,指甲,指甲 ,,tsɿ tɕia,tsɿ21 tɕia,t͡sɹ̩21 t͡ɕia,t͡sɹ̩ t͡ɕia,Xian,XA
XA,Xian,60,膝盖,坷膝盖 ,,kˈɯ tɕˈi kai,kˈɯ21 tɕˈi kai44,kʰɯ21 t͡ɕʰi kai44,kʰɯ t͡ɕʰi kai,Xian,XA
XA,Xian,61,腿,腿 ,,tˈuei,tˈuei53,tʰuei53,tʰuei,Xian,XA
XA,Xian,62,父亲,爸,,pa,pa44,pa44,pa,Xian,XA
XA,Xian,63,母亲,妈,,ma,ma21,ma21,ma,Xian,XA
XA,Xian,64,祖父,爷,,iɛ,iɛ44,iɛ44,iɛ,Xian,XA
XA,Xian,65,祖母,奶,,nai,nai53,nai53,nai,Xian,XA
XA,Xian,66,伯父,伯,,pei,pei21,pei21,pei,Xian,XA
XA,Xian,67,伯母,妈妈,,ma ma,ma24 ma,ma24 ma,ma ma,Xian,XA
XA,Xian,68,叔父,爸,,pa,pa44,pa44,pa,Xian,XA
XA,Xian,69,叔母,娘,,niaŋ,niaŋ44,niaŋ44,niaŋ,Xian,XA
XA,Xian,70,外祖父,爷,,iɛ,iɛ44,iɛ44,iɛ,Xian,XA
XA,Xian,71,外祖母,奶,,nai,nai53,nai53,nai,Xian,XA
XA,Xian,72,舅舅,舅,,tɕiou,tɕiou44,t͡ɕiou44,t͡ɕiou,Xian,XA
XA,Xian,73,舅母,妗子,,tɕiẽ tsɿ,tɕiẽ44 tsɿ,t͡ɕiẽ44 t͡sɹ̩,t͡ɕiẽ t͡sɹ̩,Xian,XA
XA,Xian,74,丈夫,女婿 ,,ny ɕi,ny53 ɕi,ny53 ɕi,ny ɕi,Xian,XA
XA,Xian,75,妻子,媳妇儿 ,,ɕi fuər,ɕi21 fuər,ɕi21 fuər,ɕi fuər,Xian,XA
XA,Xian,76,儿子,儿,,ər,ər24,ər24,ər,Xian,XA
XA,Xian,77,女儿,女,,ny,ny53,ny53,ny,Xian,XA
XA,Xian,78,早饭,赶早饭 ,,kã tsau fã,kã5321 tsau53 fã44,kã5321 t͡sau53 fã44,kã t͡sau fã,Xian,XA
XA,Xian,79,午饭,晌午饭 ,,ʂaŋ u fã,ʂaŋ5321 u53 fã44,ʂaŋ5321 u53 fã44,ʂaŋ u fã,Xian,XA
XA,Xian,80,晚饭,黑咧饭 ,,xei liɛ fã,xei21 liɛ fã44,xei21 liɛ fã44,xei liɛ fã,Xian,XA
XA,Xian,81,面条,面,,miã,miã44,miã44,miã,Xian,XA
XA,Xian,82,馒头,蒸馍 ,,tʂəŋ mo,tʂəŋ21 mo,tʂəŋ21 mo,tʂəŋ mo,Xian,XA
XA,Xian,83,包子,包子 ,,pau tsɿ,pau21 tsɿ,pau21 t͡sɹ̩,pau t͡sɹ̩,Xian,XA
XA,Xian,84,馄饨,馄饨 ,,xuẽ tˈuẽ,xuẽ24 tˈuẽ,xuẽ24 tʰuẽ,xuẽ tʰuẽ,Xian,XA
XA,Xian,85,醋,醋 ,,tsˈu,tsˈu44,t͡sʰu44,t͡sʰu,Xian,XA
XA,Xian,86,酱油,酱油 ,,tɕiaŋ iou,tɕiaŋ44 iou24,t͡ɕiaŋ44 iou24,t͡ɕiaŋ iou,Xian,XA
XA,Xian,87,盐,盐,,iã,iã24,iã24,iã,Xian,XA
XA,Xian,88,筷子,筷子 ,,kˈuai tsɿ,kˈuai44 tsɿ,kʰuai44 t͡sɹ̩,kʰuai t͡sɹ̩,Xian,XA
XA,Xian,89,勺儿,勺勺儿 ,,fo for,fo24 for,fo24 for,fo for,Xian,XA
XA,Xian,90,男人,男人 ,,nã ʐẽ,nã24 ʐẽ,nã24 ʐẽ,nã ʐẽ,Xian,XA
XA,Xian,91,女人,女人 ,,ny ʐẽ,ny53 ʐẽ,ny53 ʐẽ,ny ʐẽ,Xian,XA
XA,Xian,92,男孩子,娃子 ,,ua tsɿ,ua24 tsɿ,ua24 t͡sɹ̩,ua t͡sɹ̩,Xian,XA
XA,Xian,93,女孩子,女子 ,,ny tsɿ,ny53 tsɿ,ny53 t͡sɹ̩,ny t͡sɹ̩,Xian,XA
XA,Xian,94,老头儿,老汉 ,,lau xã,lau53 xã,lau53 xã,lau xã,Xian,XA
XA,Xian,95,医生,大夫,,tai fu,tai44 fu,tai44 fu,tai fu,Xian,XA
XA,Xian,96,厨师,厨子 ,,pfˈu tsɿ,pfˈu24 tsɿ,pfʰu24 t͡sɹ̩,pfʰu t͡sɹ̩,Xian,XA
XA,Xian,97,乞丐,闲人儿 ,,xã ʐər,xã24 ʐər24,xã24 ʐər24,xã ʐər,Xian,XA
XA,Xian,98,保姆,佣人 ,,yŋ ʐẽ,yŋ44 ʐẽ,yŋ44 ʐẽ,yŋ ʐẽ,Xian,XA
XA,Xian,99,病了,病咧 ,,piŋ liɛ,piŋ44 liɛ,piŋ44 liɛ,piŋ liɛ,Xian,XA
XA,Xian,100,伤风,凉着咧 ,,liaŋ pfo liɛ,liaŋ24 pfo liɛ,liaŋ24 pfo liɛ,liaŋ pfo liɛ,Xian,XA
XA,Xian,101,泻肚,跑後 ,,pˈau xou,pˈau24 xou44,pʰau24 xou44,pʰau xou,Xian,XA
XA,Xian,102,瘸子,跛子 ,,po tsɿ,po53 tsɿ,po53 t͡sɹ̩,po t͡sɹ̩,Xian,XA
XA,Xian,103,驼背,背锅子 ,,pei kuo tsɿ,pei21 kuo tsɿ,pei21 kuo t͡sɹ̩,pei kuo t͡sɹ̩,Xian,XA
XA,Xian,104,死了,死咧 ,,sɿ liɛ,sɿ5321 liɛ,sɹ̩5321 liɛ,sɹ̩ liɛ,Xian,XA
XA,Xian,105,看病,看病 ,,kˈã piŋ,kˈã44 piŋ44,kʰã44 piŋ44,kʰã piŋ,Xian,XA
XA,Xian,106,我,我,,ŋɤ,ŋɤ53,ŋɤ53,ŋɤ,Xian,XA
XA,Xian,107,你,你,,ni,ni53,ni53,ni,Xian,XA
XA,Xian,108,他,他,,tˈa,tˈa21,tʰa21,tʰa,Xian,XA
XA,Xian,109,我们,俺 ,,ŋai,ŋai21,ŋai21,ŋai,Xian,XA
XA,Xian,110,你们,你,,ni,ni21,ni21,ni,Xian,XA
XA,Xian,111,他们,他的 ,,tˈa ti,tˈa21 ti,tʰa21 ti,tʰa ti,Xian,XA
XA,Xian,112,咱们,咱,,tsai,tsai24,t͡sai24,t͡sai,Xian,XA
XA,Xian,113,自己,自个儿 ,,tsɿ kɤr,tsɿ44 kɤr4453,t͡sɹ̩44 kɤr4453,t͡sɹ̩ kɤr,Xian,XA
XA,Xian,114,谁,谁,,sei,sei24,sei24,sei,Xian,XA
XA,Xian,115,什么,啥,,sa,sa44,sa44,sa,Xian,XA
XA,Xian,116,这里,这儿,,tʂɤr,tʂɤr53,tʂɤr53,tʂɤr,Xian,XA
XA,Xian,117,那里,兀儿,,uor,uor53,uor53,uor,Xian,XA
XA,Xian,118,哪里,啊搭 ,,a ta,a53 ta,a53 ta,a ta,Xian,XA
XA,Xian,119,这个,这个 ,,tʂʅ kɤ,tʂʅ44 kɤ,tʂɻ̩44 kɤ,tʂɻ̩ kɤ,Xian,XA
XA,Xian,120,那个,兀个,,u kɤ,u44 kɤ,u44 kɤ,u kɤ,Xian,XA
XA,Xian,121,哪一个,啊一个,,a i kɤ,a53 i21 kɤ,a53 i21 kɤ,a i kɤ,Xian,XA
XA,Xian,122,怎么样,咋个向 ,,tsa kɤ ɕiaŋ,tsa53 kɤ ɕiaŋ44,t͡sa53 kɤ ɕiaŋ44,t͡sa kɤ ɕiaŋ,Xian,XA
XA,Xian,123,一位客人,个,,kɤ,kɤ44,kɤ44,kɤ,Xian,XA
XA,Xian,124,粗,粗,,tsˈu,tsˈu21,t͡sʰu21,t͡sʰu,Xian,XA
XA,Xian,125,细,细,,ɕi,ɕi44,ɕi44,ɕi,Xian,XA
XA,Xian,126,长,长,,tʂˈaŋ,tʂˈaŋ24,tʂʰaŋ24,tʂʰaŋ,Xian,XA
XA,Xian,127,短,短,,tuã,tuã53,tuã53,tuã,Xian,XA
XA,Xian,128,脏,脏,,tsaŋ,tsaŋ21,t͡saŋ21,t͡saŋ,Xian,XA
XA,Xian,129,干净,干净,,kã tɕiŋ,kã21 tɕiŋ,kã21 t͡ɕiŋ,kã t͡ɕiŋ,Xian,XA
XA,Xian,130,便宜,便宜,,pˈiã i,pˈiã24 i,pʰiã24 i,pʰiã i,Xian,XA
XA,Xian,131,刚(来),刚 ,,kaŋ,kaŋ24,kaŋ24,kaŋ,Xian,XA
XA,Xian,132,刚(合适),刚,,kaŋ,kaŋ24,kaŋ24,kaŋ,Xian,XA
XA,Xian,133,正好,刚好儿 ,,kaŋ xaur,kaŋ24 xaur53,kaŋ24 xaur53,kaŋ xaur,Xian,XA
XA,Xian,134,和,跟 ,,kẽ,kẽ21,kẽ21,kẽ,Xian,XA
XA,Xian,135,只,光 ,,kuaŋ,kuaŋ24,kuaŋ24,kuaŋ,Xian,XA
XA,Xian,136,从,由 ,,iou,iou24,iou24,iou,Xian,XA
XA,Xian,137,替,替,,tˈi,tˈi44,tʰi44,tʰi,Xian,XA
XA,Xian,138,拿,拿 ,,na,na24,na24,na,Xian,XA
XA,Xian,139,故意,故意儿 ,,ku iər,ku44 iər4453,ku44 iər4453,ku iər,Xian,XA
XA,Xian,140,一,一,,i,i21,i21,i,Xian,XA
XA,Xian,141,二,二,,ər,ər44,ər44,ər,Xian,XA
XA,Xian,142,三,三,,sã,sã21,sã21,sã,Xian,XA
XA,Xian,143,四,四,,sɿ,sɿ44,sɹ̩44,sɹ̩,Xian,XA
XA,Xian,144,五,五,,u,u53,u53,u,Xian,XA
XA,Xian,145,六,六,,liou,liou21,liou21,liou,Xian,XA
XA,Xian,146,七,七,,tɕˈi,tɕˈi21,t͡ɕʰi21,t͡ɕʰi,Xian,XA
XA,Xian,147,九,九,,tɕiou,tɕiou53,t͡ɕiou53,t͡ɕiou,Xian,XA
XA,Xian,148,十,十,,ʂʅ,ʂʅ24,ʂɻ̩24,ʂɻ̩,Xian,XA
XA,Xian,149,十一,十一,,ʂʅ i,ʂʅ24 i21,ʂɻ̩24 i21,ʂɻ̩ i,Xian,XA
XA,Xian,150,十二,十二,,ʂʅ ər,ʂʅ24 ər44,ʂɻ̩24 ər44,ʂɻ̩ ər,Xian,XA
XA,Xian,151,二十,二十,,ər ʂʅ,ər44 ʂʅ,ər44 ʂɻ̩,ər ʂɻ̩,Xian,XA
XA,Xian,152,二十一,二十一,,ər ʂʅ i,ər44 ʂʅ24 i21,ər44 ʂɻ̩24 i21,ər ʂɻ̩ i,Xian,XA
XA,Xian,153,一百二十一,一百二十一,,i pei ər ʂʅ i,i2124 pei21 ər44 ʂʅ24 i21,i2124 pei21 ər44 ʂɻ̩24 i21,i pei ər ʂɻ̩ i,Xian,XA
XA,Xian,154,第二,第二,,ti ər,ti44 ər44,ti44 ər44,ti ər,Xian,XA
XA,Xian,155,二两,二两,,ər liaŋ,ər44 liaŋ,ər44 liaŋ,ər liaŋ,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
